index	seconds	temperature	temperature_2	beleuchtungsstaerke
1	0	56.90854712	131.130586	0.96849
2	0.1	56.90854712	131.0296332	0.96951
3	0.2	56.85551344	131.0296332	0.96849
4	0.3	56.95425005	131.0296332	0.96849
5	0.4	56.95425005	131.130586	0.96849
6	0.5	56.85551344	131.2315491	0.96849
7	0.6	56.85551344	131.2315491	0.96747
8	0.7	56.85551344	131.130586	0.96645
9	0.8	56.95425005	131.0296332	0.96747
10	0.9	56.95425005	130.8277579	0.96849
11	1	56.95425005	130.9286904	0.96798
12	1.1	56.95425005	130.8277579	0.96747
13	1.2	56.95425005	130.8277579	0.96798
14	1.3	57.00728145	130.8277579	0.96849
15	1.4	57.20473737	130.8277579	0.96951
16	1.5	57.00728145	131.0296332	0.969
17	1.6	57.00728145	131.130586	0.97002
18	1.7	57.00728145	131.0296332	0.969
19	1.8	57.00728145	131.0296332	0.96849
20	1.9	57.00728145	131.0296332	0.96798
21	2	57.00728145	131.0296332	0.96849
22	2.1	57.10601152	131.130586	0.96951
23	2.2	57.00728145	131.130586	0.97104
24	2.3	57.00728145	131.2315491	0.969
25	2.4	56.95425005	131.2315491	0.97053
26	2.5	56.95425005	131.0296332	0.97104
27	2.6	56.95425005	131.130586	0.97002
28	2.7	57.05298241	131.130586	0.96849
29	2.8	56.95425005	130.9286904	0.96645
30	2.9	57.05298241	131.2315491	0.96645
31	3	56.95425005	131.130586	0.96747
32	3.1	57.15171053	131.130586	0.96798
33	3.2	57.05298241	131.0296332	0.96798
34	3.3	57.05298241	130.8277579	0.96747
35	3.4	57.05298241	130.9286904	0.96696
36	3.5	57.10601152	130.9286904	0.96645
37	3.6	57.10601152	130.8277579	0.96747
38	3.7	57.00728145	130.9286904	0.96798
39	3.8	57.00728145	130.8277579	0.96798
40	3.9	57.00728145	130.9286904	0.969
41	4	57.10601152	131.130586	0.96798
42	4.1	57.10601152	131.0296332	0.96798
43	4.2	57.00728145	130.9286904	0.96645
44	4.3	57.10601152	131.130586	0.96645
45	4.4	57.00728145	131.130586	0.96594
46	4.5	57.00728145	131.2315491	0.96543
47	4.6	57.10601152	131.2315491	0.96696
48	4.7	57.20473737	131.2315491	0.96696
49	4.8	57.00728145	131.130586	0.96798
50	4.9	57.00728145	131.130586	0.97002
51	5	57.10601152	131.2315491	0.97053
52	5.1	57.10601152	131.2315491	0.969
53	5.2	57.00728145	131.130586	0.96747
54	5.3	57.10601152	131.3325224	0.96798
55	5.4	57.10601152	131.4335059	0.96951
56	5.5	57.10601152	131.3325224	0.96849
57	5.6	57.10601152	131.2315491	0.96645
58	5.7	57.10601152	131.2315491	0.96696
59	5.8	57.00728145	131.3325224	0.96645
60	5.9	57.20473737	131.4335059	0.96696
61	6	57.10601152	131.5344997	0.96594
62	6.1	57.10601152	131.6355037	0.96747
63	6.2	57.10601152	131.6355037	0.96951
64	6.3	57.20473737	131.736518	0.96849
65	6.4	57.10601152	131.8375427	0.96696
66	6.5	57.20473737	131.9385776	0.95319
67	6.6	57.10601152	131.6355037	0.43503
68	6.7	57.10601152	131.736518	0
69	6.8	57.10601152	131.736518	0
70	6.9	57.10601152	131.4335059	0
71	7	57.00728145	131.5344997	0
72	7.1	57.20473737	131.4335059	0
73	7.2	57.20473737	131.2315491	0
74	7.3	57.20473737	131.4335059	0
75	7.4	57.00728145	131.5344997	0
76	7.5	57.20473737	131.4335059	0
77	7.6	57.20473737	131.130586	0
78	7.7	57.303459	131.5344997	0
79	7.8	57.303459	131.5344997	0
80	7.9	57.303459	131.3325224	0
81	8	57.40217645	130.9286904	0
82	8.1	57.20473737	131.2315491	0
83	8.2	57.303459	131.3325224	0
84	8.3	57.20473737	131.2315491	0
85	8.4	57.10601152	131.3325224	0
86	8.5	57.20473737	131.3325224	0
87	8.6	57.303459	131.2315491	0
88	8.7	57.303459	131.2315491	0
89	8.8	57.303459	131.3325224	0
90	8.9	57.303459	131.3325224	0
91	9	57.303459	131.3505133	0
92	9.1	57.303459	131.3505133	0
93	9.2	57.303459	131.3505133	0
94	9.3	57.303459	131.3505133	0
95	9.4	57.40217645	131.1485733	0
96	9.5	57.303459	130.946674	0
97	9.6	57.303459	130.946674	0
98	9.7	57.303459	130.946674	0
99	9.8	57.40217645	130.6439013	0
100	9.9	57.40217645	130.5429973	0
101	10	57.40217645	130.5429973	0
102	10.1	57.40217645	130.9286904	0
103	10.2	57.40217645	130.8277579	0
104	10.3	57.303459	130.6259232	0
105	10.4	57.40217645	130.7268355	0
106	10.5	57.40217645	130.8277579	0
107	10.6	57.40217645	130.7268355	0
108	10.7	57.40217645	130.8277579	0
109	10.8	57.40217645	130.8277579	0
110	10.9	57.303459	130.8277579	0
111	11	57.40217645	130.8277579	0
112	11.1	57.40217645	130.8277579	0
113	11.2	57.40217645	130.7268355	0
114	11.3	57.50088972	130.9286904	0
115	11.4	57.40217645	130.7268355	0
116	11.5	57.40217645	130.7268355	0
117	11.6	57.40217645	130.9286904	0
118	11.7	57.40217645	130.9286904	0
119	11.8	57.40217645	131.0296332	0
120	11.9	57.50088972	130.9286904	0
121	12	57.40217645	130.9286904	0
122	12.1	57.50088972	131.0296332	0
123	12.2	57.50088972	131.0296332	0
124	12.3	57.59959883	130.7268355	0
125	12.4	57.40217645	130.7268355	0
126	12.5	57.303459	130.9286904	0
127	12.6	57.40217645	130.9286904	0
128	12.7	57.50088972	130.8277579	0
129	12.8	57.40217645	130.6259232	0
130	12.9	57.50088972	130.9286904	0
131	13	57.50088972	130.8277579	0
132	13.1	57.40217645	131.130586	0
133	13.2	57.40217645	130.5250209	0
134	13.3	57.50088972	130.5250209	0
135	13.4	57.59959883	130.7268355	0
136	13.5	57.59959883	130.8277579	0
137	13.6	57.59959883	130.9286904	0
138	13.7	57.59959883	130.9286904	0
139	13.8	57.59959883	130.6259232	0
140	13.9	57.50088972	130.7268355	0
141	14	57.50088972	130.7268355	0
142	14.1	57.50088972	130.7268355	0
143	14.2	57.50088972	131.130586	0
144	14.3	57.50088972	131.130586	0
145	14.4	57.50088972	131.0296332	0
146	14.5	57.50088972	131.0296332	0
147	14.6	57.59959883	130.9286904	0
148	14.7	57.40217645	131.0296332	0
149	14.8	57.50088972	130.7268355	0
150	14.9	57.59959883	130.8277579	0
151	15	57.59959883	131.130586	0
152	15.1	57.59959883	130.7268355	0
153	15.2	57.59959883	130.8277579	0
154	15.3	57.59959883	130.6259232	0
155	15.4	57.59959883	130.6259232	0
156	15.5	57.59959883	130.7268355	0
157	15.6	57.59959883	130.5250209	0
158	15.7	57.59959883	130.4241288	0
159	15.8	57.59959883	130.5250209	0
160	15.9	57.50088972	130.5250209	0
161	16	57.59959883	130.7268355	0
162	16.1	57.59959883	130.6259232	0
163	16.2	57.59959883	130.8277579	0
164	16.3	57.69830381	130.9286904	0
165	16.4	57.59959883	130.9286904	0
166	16.5	57.59959883	130.9286904	0
167	16.6	57.69830381	131.0296332	0
168	16.7	57.59959883	130.8277579	0
169	16.8	57.69830381	131.0296332	0
170	16.9	57.59959883	130.9286904	0
171	17	57.59959883	130.8277579	0
172	17.1	57.50088972	130.8277579	0
173	17.2	57.59959883	130.8277579	0
174	17.3	57.69830381	130.8277579	0
175	17.4	57.69830381	130.7268355	0
176	17.5	57.59959883	130.8277579	0
177	17.6	57.59959883	130.8277579	0
178	17.7	57.59959883	130.5250209	0
179	17.8	57.59959883	130.6259232	0
180	17.9	57.59959883	130.6259232	0
181	18	57.69830381	130.0206606	0
182	18.1	57.59959883	130.4241288	0
183	18.2	57.69830381	130.3232467	0
184	18.3	57.59959883	130.6259232	0
185	18.4	57.69830381	129.9198186	0
186	18.5	57.69830381	130.3232467	0
187	18.6	57.69830381	130.3232467	0
188	18.7	57.69830381	130.3232467	0
189	18.8	57.69830381	130.0386281	0
190	18.9	57.59959883	130.1394819	0
191	19	57.69830381	130.1394819	0
192	19.1	57.69830381	130.0386281	0
193	19.2	57.50088972	130.0386281	0
194	19.3	57.59959883	129.9377843	0
195	19.4	57.69830381	129.8369504	0
196	19.5	57.50088972	129.7361265	0
197	19.6	57.59959883	129.7361265	0
198	19.7	57.59959883	129.6353125	0
199	19.8	57.69830381	129.6353125	0
200	19.9	57.59959883	129.8189865	0
201	20	57.69830381	129.9198186	0
202	20.1	57.59959883	129.8189865	0
203	20.2	57.59959883	129.8189865	0
204	20.3	57.69830381	129.9198186	0
205	20.4	57.69830381	130.0206606	0
206	20.5	57.69830381	130.0206606	0
207	20.6	57.69830381	129.9198186	0
208	20.7	57.69830381	129.8189865	0
209	20.8	57.69830381	129.8189865	0
210	20.9	57.69830381	129.8189865	0
211	21	57.69830381	129.9198186	0
212	21.1	57.59959883	129.8189865	0
213	21.2	57.69830381	130.0206606	0
214	21.3	57.79700468	130.0206606	0
215	21.4	57.59959883	130.1215127	0
216	21.5	57.69830381	130.0206606	0
217	21.6	57.59959883	130.0206606	0
218	21.7	57.69830381	130.1215127	0
219	21.8	57.69830381	129.8189865	0
220	21.9	57.69830381	129.8189865	0
221	22	57.59959883	129.8189865	0
222	22.1	57.69830381	129.8189865	0
223	22.2	57.59959883	129.6173522	0
224	22.3	57.79700468	129.7181644	0
225	22.4	57.59959883	129.7181644	0
226	22.5	57.59959883	130.0206606	0
227	22.6	57.69830381	129.9198186	0
228	22.7	57.69830381	129.6173522	0
229	22.8	57.59959883	129.9198186	0
230	22.9	57.69830381	129.7181644	0
231	23	57.69830381	129.7181644	0
232	23.1	57.69830381	129.8189865	0
233	23.2	57.59959883	129.1134393	0
234	23.3	57.69830381	129.5165499	0
235	23.4	57.69830381	129.6173522	0
236	23.5	57.69830381	129.9198186	0
237	23.6	57.69830381	129.2142021	0
238	23.7	57.69830381	129.7181644	0
239	23.8	57.79700468	129.7181644	0
240	23.9	57.69830381	129.5165499	0
241	24	57.79700468	129.5165499	0
242	24.1	57.79700468	129.5165499	0
243	24.2	57.59959883	129.2142021	0
244	24.3	57.69830381	129.2142021	0
245	24.4	57.59959883	129.2142021	0
246	24.5	57.59959883	129.3149749	0
247	24.6	57.69830381	129.1134393	0
248	24.7	57.69830381	129.2142021	0
249	24.8	57.79700468	129.0126862	0
250	24.9	57.69830381	129.1134393	0
251	25	57.59959883	129.3149749	0
252	25.1	57.59959883	129.0126862	0
253	25.2	57.59959883	129.0126862	0
254	25.3	57.79700468	129.0126862	0
255	25.4	57.79700468	128.9119429	0
256	25.5	57.69830381	128.9119429	0
257	25.6	57.69830381	128.9119429	0
258	25.7	57.69830381	128.9119429	0
259	25.8	57.69830381	128.8112093	0
260	25.9	57.59959883	129.0126862	0
261	26	57.69830381	129.1134393	0
262	26.1	57.69830381	129.0126862	0
263	26.2	57.69830381	129.0126862	0
264	26.3	57.59959883	129.0126862	0
265	26.4	57.69830381	129.2142021	0
266	26.5	57.79700468	129.2142021	0
267	26.6	57.69830381	129.5165499	0
268	26.7	57.69830381	129.5165499	0
269	26.8	57.59959883	129.5165499	0
270	26.9	57.59959883	129.4157574	0
271	27	57.69830381	129.6173522	0
272	27.1	57.69830381	129.6173522	0
273	27.2	57.69830381	129.6173522	0
274	27.3	57.69830381	129.6173522	0
275	27.4	57.69830381	129.6173522	0
276	27.5	57.69830381	129.5165499	0
277	27.6	57.69830381	129.7181644	0
278	27.7	57.79700468	129.7181644	0
279	27.8	57.79700468	129.6173522	0
280	27.9	57.79700468	129.6173522	0
281	28	57.79700468	129.4157574	0
282	28.1	57.59959883	129.5165499	0
283	28.2	57.69830381	129.4157574	0
284	28.3	57.69830381	129.8189865	0
