index	seconds	temperature	temperature_2	beleuchtungsstaerke
1	0	56.84808282	131.6355037	0.95676
2	0.1	56.94681976	130.5250209	0.95574
3	0.2	56.94681976	130.4241288	0.95625
4	0.3	56.94681976	130.3232467	0.95472
5	0.4	56.84808282	130.2223747	0.9537
6	0.5	56.94681976	130.2223747	0.95574
7	0.6	56.84808282	130.3232467	0.95574
8	0.7	56.94681976	130.3232467	0.95625
9	0.8	56.94681976	130.4241288	0.95523
10	0.9	56.84808282	130.4241288	0.95319
11	1	56.94681976	130.5250209	0.95421
12	1.1	56.94681976	130.5250209	0.95523
13	1.2	56.90118395	130.3412195	0.95574
14	1.3	56.90118395	130.5429973	0.95523
15	1.4	56.99991859	130.5429973	0.95421
16	1.5	56.99991859	130.4421034	0.95472
17	1.6	56.99991859	130.5429973	0.95574
18	1.7	56.90118395	130.4421034	0.95421
19	1.8	56.99991859	130.4421034	0.95421
20	1.9	56.99991859	130.3412195	0.9537
21	2	56.99991859	130.4421034	0.95319
22	2.1	57.09864899	130.1394819	0.95523
23	2.2	57.09864899	130.1394819	0.95574
24	2.3	57.09864899	130.6259232	0.95727
25	2.4	56.99991859	130.8277579	0.95625
26	2.5	56.99991859	130.4241288	0.95523
27	2.6	56.99991859	130.6259232	0.95574
28	2.7	56.90118395	130.6259232	0.95625
29	2.8	56.99991859	130.9286904	0.95574
30	2.9	57.09864899	130.9286904	0.95574
31	3	56.99991859	130.7268355	0.95523
32	3.1	57.09864899	130.7268355	0.95472
33	3.2	57.09864899	130.7268355	0.95523
34	3.3	57.09864899	130.5429973	0.95625
35	3.4	57.19737515	130.3412195	0.95676
36	3.5	57.09864899	130.3412195	0.95472
37	3.6	56.99991859	130.3412195	0.95421
38	3.7	57.09864899	130.2403457	0.95523
39	3.8	56.99991859	130.0386281	0.95523
40	3.9	56.99991859	129.9377843	0.95421
41	4	56.99991859	129.8369504	0.9537
42	4.1	56.99991859	129.9377843	0.95319
43	4.2	56.99991859	129.9377843	0.95268
44	4.3	56.99991859	129.9377843	0.95472
45	4.4	57.09864899	129.8369504	0.95523
46	4.5	56.90118395	129.7361265	0.95523
47	4.6	56.99991859	129.8369504	0.9537
48	4.7	57.09864899	129.6353125	0.95472
49	4.8	56.99991859	129.6353125	0.95523
50	4.9	57.09864899	129.7361265	0.9537
51	5	57.09864899	129.9377843	0.95421
52	5.1	57.09864899	129.9377843	0.95523
53	5.2	57.09864899	129.8369504	0.95625
54	5.3	57.09864899	129.8369504	0.95727
55	5.4	57.09864899	129.8369504	0.95676
56	5.5	57.09864899	130.0206606	0.95574
57	5.6	56.99991859	130.0206606	0.95421
58	5.7	56.99991859	129.9198186	0.95472
59	5.8	56.99991859	129.9198186	0.95472
60	5.9	56.99991859	129.9198186	0.95421
61	6	57.09864899	130.1215127	0.95421
62	6.1	56.99991859	130.0206606	0.95319
63	6.2	57.09864899	130.1215127	0.9537
64	6.3	57.09864899	130.1215127	0.95421
65	6.4	57.19737515	130.1215127	0.95421
66	6.5	57.19737515	130.3232467	0.95319
67	6.6	57.09864899	130.2223747	0.95319
68	6.7	57.09864899	130.2223747	0.9537
69	6.8	56.99991859	130.3232467	0.95421
70	6.9	56.99991859	130.2223747	0.95472
71	7	57.09864899	130.1215127	0.95472
72	7.1	56.99991859	130.2223747	0.95523
73	7.2	57.09864899	130.5250209	0.95625
74	7.3	57.09864899	129.8189865	0.95523
75	7.4	57.09864899	130.1215127	0.95421
76	7.5	56.90118395	130.1215127	0.95421
77	7.6	56.90118395	130.4241288	0.95523
78	7.7	56.99991859	129.9198186	0.95676
79	7.8	56.99991859	130.3232467	0.95625
80	7.9	57.09864899	130.3232467	0.95625
81	8	57.09864899	130.4241288	0.95727
82	8.1	57.09864899	130.5250209	0.95727
83	8.2	56.90118395	130.3232467	0.9588
84	8.3	57.09864899	130.4241288	0.95676
85	8.4	57.09864899	130.3232467	0.95829
86	8.5	57.09864899	130.4241288	0.95982
87	8.6	56.90118395	130.4241288	0.95829
88	8.7	56.90118395	130.3232467	0.95625
89	8.8	56.99991859	130.3232467	0.95829
90	8.9	56.99991859	130.3232467	0.95778
91	9	57.09864899	130.1215127	0.95829
92	9.1	56.99991859	130.1215127	0.95778
93	9.2	57.09864899	129.9198186	0.95676
94	9.3	57.09864899	129.8189865	0.95676
95	9.4	57.19737515	129.7181644	0.95727
96	9.5	57.09864899	129.8189865	0.95727
97	9.6	57.19737515	129.8189865	0.95727
98	9.7	57.19737515	129.8189865	0.95676
99	9.8	57.19737515	129.8189865	0.95727
100	9.9	57.14428088	129.8189865	0.95727
101	10	57.04555244	129.7181644	0.95727
102	10.1	57.04555244	129.8189865	0.95676
103	10.2	57.04555244	129.8189865	0.95778
104	10.3	57.04555244	129.8189865	0.95829
105	10.4	57.04555244	129.9198186	0.95676
106	10.5	57.04555244	129.9198186	0.95727
107	10.6	57.14428088	129.9198186	0.95676
108	10.7	57.04555244	129.9198186	0.95676
109	10.8	57.04555244	130.0206606	0.95778
110	10.9	57.04555244	130.1215127	0.95829
111	11	57.2960971	130.2223747	0.95778
112	11.1	57.09864899	130.3232467	0.95625
113	11.2	57.09864899	130.4241288	0.95625
114	11.3	57.09864899	130.3232467	0.95778
115	11.4	57.09864899	130.4241288	0.95931
116	11.5	57.19737515	130.5250209	0.96033
117	11.6	57.09864899	130.5250209	0.95982
118	11.7	57.19737515	130.5250209	0.96033
119	11.8	57.09864899	130.5250209	0.96033
120	11.9	57.09864899	130.5429973	0.95982
