index	seconds	temperature	temperature_2	beleuchtungsstaerke
1	0	56.44552375	135.4814572	0.98175
2	0.1	56.64302844	135.3800487	0.98175
3	0.2	56.54427826	135.4814572	0.98073
4	0.3	56.54427826	135.2786511	0.97971
5	0.4	56.54427826	135.4814572	0.98022
6	0.5	56.64302844	135.5828768	0.98124
7	0.6	56.54427826	135.4814572	0.98124
8	0.7	56.54427826	135.4814572	0.98124
9	0.8	56.64302844	135.5828768	0.98175
10	0.9	56.54427826	135.4814572	0.98175
11	1	56.74177429	135.4814572	0.98328
12	1.1	56.74177429	135.4814572	0.98277
13	1.2	56.64302844	135.5828768	0.98226
14	1.3	56.64302844	135.6843074	0.98175
15	1.4	56.74177429	135.6843074	0.98124
16	1.5	56.64302844	135.6843074	0.98226
17	1.6	56.64302844	135.6843074	0.98226
18	1.7	56.64302844	135.5828768	0.98175
19	1.8	56.74177429	135.6843074	0.98175
20	1.9	56.74177429	135.4814572	0.98124
21	2	56.64302844	135.3800487	0.98124
22	2.1	56.74177429	135.4814572	0.98073
23	2.2	56.74177429	135.4814572	0.98226
24	2.3	56.74177429	135.4814572	0.98124
25	2.4	56.74177429	135.4814572	0.98022
26	2.5	56.74177429	135.2786511	0.9792
27	2.6	56.64302844	136.0901407	0.9792
28	2.7	56.64302844	135.4814572	0.98022
29	2.8	56.64302844	135.4814572	0.97869
30	2.9	56.64302844	135.4814572	0.97818
31	3	56.74177429	135.5828768	0.97818
32	3.1	56.74177429	135.3800487	0.97767
33	3.2	56.74177429	135.3800487	0.97665
34	3.3	56.74177429	135.3800487	0.97716
35	3.4	56.74177429	135.1772645	0.97767
36	3.5	56.74177429	135.0758889	0.97818
37	3.6	56.84051584	134.7718277	0.97869
38	3.7	56.74177429	134.6704957	0.97869
39	3.8	56.74177429	134.6704957	0.98073
40	3.9	56.64302844	134.6704957	0.98073
41	4	56.84051584	134.7718277	0.98073
42	4.1	56.84051584	134.8731705	0.98124
43	4.2	56.74177429	134.8731705	0.98124
44	4.3	56.74177429	134.8731705	0.98073
45	4.4	56.74177429	134.8731705	0.98124
46	4.5	56.74177429	134.8731705	0.98277
47	4.6	56.64302844	134.7718277	0.98124
48	4.7	56.74177429	134.6704957	0.9792
49	4.8	56.84051584	134.7718277	0.97818
50	4.9	56.84051584	134.8731705	0.97869
51	5	56.74177429	134.6704957	0.97716
52	5.1	56.74177429	134.7718277	0.97665
53	5.2	56.84051584	134.7718277	0.97665
54	5.3	56.74177429	134.7718277	0.97665
55	5.4	56.74177429	134.7718277	0.97614
56	5.5	56.74177429	134.8731705	0.97614
57	5.6	56.74177429	134.8731705	0.97563
58	5.7	56.84051584	135.0758889	0.97461
59	5.8	56.74177429	134.9745243	0.97461
60	5.9	56.9392531	134.8731705	0.97563
61	6	56.84051584	134.8731705	0.97614
62	6.1	56.74177429	134.7718277	0.97665
63	6.2	56.84051584	134.5691746	0.97767
64	6.3	56.84051584	134.6704957	0.97767
65	6.4	56.84051584	134.6704957	0.97716
66	6.5	56.84051584	134.6704957	0.97614
67	6.6	56.84051584	134.6704957	0.97614
68	6.7	56.74177429	134.6704957	0.97665
69	6.8	56.74177429	134.6704957	0.97614
70	6.9	56.74177429	134.7718277	0.97512
71	7	56.74177429	134.9745243	0.97461
72	7.1	56.84051584	134.8731705	0.97563
73	7.2	56.74177429	134.9745243	0.97512
74	7.3	56.84051584	134.7718277	0.97512
75	7.4	56.84051584	135.3800487	0.9741
76	7.5	56.84051584	135.3800487	0.97257
77	7.6	56.9392531	134.8731705	0.97257
78	7.7	56.84051584	134.5691746	0.97359
79	7.8	56.9392531	135.4814572	0.97359
80	7.9	56.84051584	134.9745243	0.97257
81	8	56.84051584	134.7718277	0.97308
82	8.1	56.9392531	134.7718277	0.97257
83	8.2	56.84051584	134.6704957	0.97257
84	8.3	56.84051584	134.7718277	0.97206
85	8.4	56.74177429	134.5691746	0.97308
86	8.5	56.9392531	134.5691746	0.97308
87	8.6	56.9392531	134.5691746	0.97257
88	8.7	56.74177429	134.7718277	0.97308
89	8.8	56.84051584	134.5691746	0.97257
90	8.9	56.84051584	134.5691746	0.97257
91	9	56.84051584	134.4678644	0.97308
92	9.1	56.84051584	134.5691746	0.97308
93	9.2	56.9392531	134.4678644	0.97257
94	9.3	56.9392531	134.5691746	0.97155
95	9.4	56.74177429	134.5691746	0.97155
96	9.5	56.9392531	134.5691746	0.97053
97	9.6	56.84051584	134.5691746	0.97002
98	9.7	56.84051584	134.5691746	0.97002
99	9.8	56.9392531	134.5691746	0.969
100	9.9	56.9392531	134.6704957	0.969
101	10	56.74177429	134.5691746	0.969
102	10.1	56.84051584	134.5691746	0.969
103	10.2	56.84051584	134.4678644	0.969
104	10.3	56.9392531	134.4678644	0.97002
105	10.4	56.9392531	134.366565	0.97002
106	10.5	56.84051584	134.366565	0.97104
107	10.6	56.84051584	134.366565	0.97155
108	10.7	56.84051584	134.4678644	0.97002
109	10.8	56.84051584	134.4678644	0.96849
110	10.9	56.9392531	134.4678644	0.969
111	11	56.9392531	134.4678644	0.97002
112	11.1	56.9392531	134.4678644	0.97053
113	11.2	56.84051584	134.4678644	0.97002
114	11.3	56.84051584	134.4678644	0.96798
115	11.4	56.84051584	134.2652764	0.96747
116	11.5	56.84051584	134.366565	0.96696
117	11.6	57.03798611	134.366565	0.96747
118	11.7	56.84051584	134.1639986	0.96645
119	11.8	56.9392531	134.1639986	0.96798
120	11.9	56.9392531	134.1639986	0.96951
121	12	56.9392531	134.0627316	0.96951
122	12.1	56.74177429	133.9614753	0.96951
123	12.2	56.9392531	134.0627316	0.96849
124	12.3	56.74177429	133.9614753	0.96747
125	12.4	56.74177429	134.0627316	0.96645
126	12.5	56.84051584	133.7589949	0.96696
127	12.6	56.84051584	134.5691746	0.96696
128	12.7	56.84051584	134.1639986	0.96798
129	12.8	56.84051584	134.0627316	0.96747
130	12.9	56.9392531	134.0627316	0.96645
131	13	56.9392531	134.5691746	0.96594
132	13.1	56.9392531	134.1639986	0.96441
133	13.2	56.84051584	134.0627316	0.9639
134	13.3	56.84051584	134.0627316	0.96543
135	13.4	56.9392531	134.0627316	0.96543
136	13.5	56.9392531	134.0627316	0.96696
137	13.6	56.9392531	134.0627316	0.96696
138	13.7	56.84051584	133.9614753	0.96696
139	13.8	56.9392531	134.1639986	0.96696
140	13.9	56.9392531	133.9614753	0.96594
141	14	56.9392531	133.9614753	0.96594
142	14.1	56.84051584	134.1639986	0.96696
143	14.2	56.84051584	134.1639986	0.96747
144	14.3	56.84051584	134.1639986	0.96696
145	14.4	56.84051584	134.2652764	0.96645
146	14.5	56.84051584	134.2652764	0.96492
147	14.6	56.9392531	134.1639986	0.96492
148	14.7	56.74177429	134.2652764	0.96594
149	14.8	56.74177429	134.2652764	0.96441
150	14.9	56.84051584	134.2652764	0.96441
151	15	56.84051584	134.4678644	0.9639
152	15.1	56.84051584	134.4678644	0.96492
153	15.2	56.74177429	134.3846121	0.96594
154	15.3	56.84051584	134.1820419	0.96696
155	15.4	56.74177429	134.2833216	0.96543
156	15.5	56.84051584	134.1820419	0.9639
157	15.6	56.84051584	134.1820419	0.96441
158	15.7	56.64302844	134.1820419	0.96441
159	15.8	56.84051584	134.0807729	0.96441
160	15.9	56.84051584	134.0807729	0.96492
161	16	56.84051584	134.2833216	0.96543
162	16.1	56.74177429	134.2833216	0.9639
163	16.2	56.74177429	134.366565	0.96288
164	16.3	56.84051584	134.4678644	0.96441
165	16.4	56.9392531	134.366565	0.96339
166	16.5	56.74177429	134.4678644	0.96135
167	16.6	56.74177429	134.366565	0.96135
168	16.7	56.84051584	134.2652764	0.96135
169	16.8	56.84051584	134.2652764	0.96135
170	16.9	56.74177429	134.2652764	0.96288
171	17	56.84051584	134.2652764	0.9639
172	17.1	56.9392531	134.0627316	0.96339
173	17.2	56.84051584	134.0627316	0.96186
174	17.3	56.84051584	134.2652764	0.96186
175	17.4	56.9392531	134.1639986	0.96186
176	17.5	56.84051584	134.1639986	0.96237
177	17.6	56.84051584	133.9614753	0.96339
178	17.7	56.9392531	133.7589949	0.9639
179	17.8	56.84051584	134.5691746	0.96237
180	17.9	56.74177429	134.1639986	0.96135
181	18	56.84051584	134.1639986	0.96186
182	18.1	56.84051584	133.8602297	0.96288
183	18.2	56.74177429	134.366565	0.96288
184	18.3	56.84051584	134.366565	0.9639
185	18.4	56.84051584	134.0627316	0.96543
186	18.5	56.84051584	133.9614753	0.96645
187	18.6	56.84051584	133.9614753	0.96645
188	18.7	56.9392531	134.0627316	0.96645
189	18.8	56.74177429	133.9614753	0.96747
190	18.9	56.84051584	134.0627316	0.96594
191	19	56.84051584	134.0627316	0.96543
192	19.1	56.84051584	134.0627316	0.96441
193	19.2	56.84051584	133.6577707	0.96543
194	19.3	56.84051584	133.6577707	0.96747
195	19.4	56.9392531	133.6577707	0.96594
196	19.5	56.9392531	133.6577707	0.96543
197	19.6	56.84051584	133.6577707	0.96696
198	19.7	56.84051584	133.5565573	0.96645
199	19.8	56.9392531	133.5565573	0.96594
200	19.9	56.84051584	133.4553544	0.96543
201	20	56.84051584	133.4553544	0.96543
202	20.1	56.84051584	133.5565573	0.96441
203	20.2	56.84051584	133.4553544	0.9639
204	20.3	56.74177429	133.3541623	0.96441
