H	M
1.40551903E+0	4.77043519E+0
2.09954945E+0	5.08411293E+0
2.65569691E+0	5.21886575E+0
2.98571259E+0	5.28509729E+0
3.17910124E+0	5.31253925E+0
3.28695111E+0	5.32960556E+0
3.35092892E+0	5.33715017E+0
3.37783338E+0	5.34179380E+0
3.39104919E+0	5.34404064E+0
3.39114428E+0	5.34349047E+0
3.36173486E+0	5.33920992E+0
3.29704383E+0	5.33012957E+0
3.19944031E+0	5.31689072E+0
3.08135622E+0	5.29913014E+0
2.94081082E+0	5.27804144E+0
2.77613811E+0	5.24917424E+0
2.58955019E+0	5.21599485E+0
2.39348258E+0	5.17028510E+0
2.19166918E+0	5.11993134E+0
1.98315032E+0	5.06281358E+0
1.79801202E+0	5.00412155E+0
1.59255030E+0	4.92529161E+0
1.35807769E+0	4.81349037E+0
1.11410915E+0	4.66719958E+0
8.79922925E-1	4.48328170E+0
6.54863400E-1	4.22802306E+0
4.31393970E-1	3.86458608E+0
2.56287028E-1	3.40480734E+0
1.21997209E-1	2.83868848E+0
3.31322400E-2	2.12074181E+0
-3.16745907E-2	1.24023778E+0
-7.97757373E-2	1.94615073E-1
-1.38229794E-1	-9.87122607E-1
-2.50184403E-1	-2.32649542E+0
-5.22741031E-1	-3.58514452E+0
-1.17092495E+0	-4.47773437E+0
-1.94800497E+0	-4.87103205E+0
-2.60295987E+0	-5.04768173E+0
-3.00834939E+0	-5.12278536E+0
-3.21361335E+0	-5.15375603E+0
-3.29801076E+0	-5.16708619E+0
-3.33650432E+0	-5.17191951E+0
-3.34545223E+0	-5.17349303E+0
-3.32245917E+0	-5.16964231E+0
-3.22941648E+0	-5.15695946E+0
-3.06999586E+0	-5.13379197E+0
-2.86897211E+0	-5.10194832E+0
-2.63125075E+0	-5.06204380E+0
-2.38707657E+0	-5.00925420E+0
-2.15698718E+0	-4.95554822E+0
-1.93901611E+0	-4.89323230E+0
-1.74039261E+0	-4.82795490E+0
-1.52624516E+0	-4.74693406E+0
-1.28963002E+0	-4.63320326E+0
-1.05488727E+0	-4.48726345E+0
-8.37841616E-1	-4.32379683E+0
-6.50159932E-1	-4.12252831E+0
-4.88832939E-1	-3.89320361E+0
-3.48841963E-1	-3.62338799E+0
-2.24658858E-1	-3.30745457E+0
-1.34572939E-1	-2.99043740E+0
-5.80723595E-2	-2.58783458E+0
4.50030256E-3	-2.08366355E+0
5.69923905E-2	-1.53973007E+0
9.34093679E-2	-8.99562183E-1
1.27573941E-1	-1.60318683E-1
1.64100030E-1	6.71482058E-1
2.22541888E-1	1.60623830E+0
3.21179419E-1	2.59732759E+0
5.13368930E-1	3.62239642E+0
9.52284841E-1	4.41177141E+0
1.65533566E+0	4.89775668E+0
2.34578756E+0	5.14569832E+0
2.81164471E+0	5.25116986E+0
3.09155999E+0	5.29927612E+0
3.24321097E+0	5.32323860E+0
3.32788087E+0	5.33499777E+0
