H	M
3.37192531E+0	5.34386421E+0
3.19843650E+0	5.31943516E+0
2.90209871E+0	5.27307926E+0
2.54458166E+0	5.20421445E+0
2.14425698E+0	5.10631737E+0
1.73299457E+0	4.97233501E+0
1.26230275E+0	4.74483734E+0
8.42527189E-1	4.42680842E+0
4.86217597E-1	3.94302622E+0
2.20918446E-1	3.23160317E+0
5.36946332E-2	2.26076637E+0
-4.01758130E-2	1.07230404E+0
-1.07422760E-1	-4.16191624E-1
-2.24747517E-1	-2.09771321E+0
-6.32247522E-1	-3.76202670E+0
-1.60048486E+0	-4.71517639E+0
-2.49388171E+0	-5.01884292E+0
-2.98441168E+0	-5.11743033E+0
-3.20550900E+0	-5.15386963E+0
-3.30074826E+0	-5.16594400E+0
-3.33622283E+0	-5.17235901E+0
-3.34405341E+0	-5.17503399E+0
-3.28247300E+0	-5.16644076E+0
-3.10053609E+0	-5.14292743E+0
-2.85013047E+0	-5.10015839E+0
-2.56985667E+0	-5.05271422E+0
-2.26516744E+0	-4.98661577E+0
-1.94050207E+0	-4.90113515E+0
-1.61219772E+0	-4.78737283E+0
-1.21725983E+0	-4.59089494E+0
-8.30827501E-1	-4.31781536E+0
-4.97384930E-1	-3.91560989E+0
-2.03460539E-1	-3.25790818E+0
-2.06209608E-2	-2.31869828E+0
8.38130511E-2	-1.07797534E+0
1.56860759E-1	5.28371158E-1
2.97676543E-1	2.47060158E+0
8.82859946E-1	4.33331400E+0
2.20450842E+0	5.10951444E+0
3.00453246E+0	5.29091477E+0
3.28996845E+0	5.33304624E+0
3.37986123E+0	5.34741942E+0
