H	M
-6.00082018E-1	-3.78917119E+0
-7.35539520E-1	-4.01720288E+0
-8.56697857E-1	-4.17597669E+0
-9.52610106E-1	-4.27021127E+0
-1.00207373E+0	-4.31751163E+0
-1.00603838E+0	-4.32236854E+0
-9.79498699E-1	-4.30319095E+0
-9.32674264E-1	-4.26749135E+0
-8.72966357E-1	-4.21961595E+0
-8.02956432E-1	-4.16137608E+0
-7.25728320E-1	-4.08156760E+0
-6.38731120E-1	-3.98964515E+0
-5.48039344E-1	-3.87107990E+0
-4.57737280E-1	-3.72648095E+0
-3.77820197E-1	-3.58831571E+0
-3.08197731E-1	-3.44480473E+0
-2.36481909E-1	-3.21925319E+0
-1.52012902E-1	-2.94695510E+0
-7.92071311E-2	-2.58442074E+0
-1.09960365E-2	-2.12816169E+0
4.27180704E-2	-1.59741637E+0
8.08939054E-2	-1.03319756E+0
1.12318581E-1	-3.68872084E-1
1.43091314E-1	3.45480094E-1
1.78786059E-1	1.07667355E+0
2.27510557E-1	1.83241118E+0
3.02461335E-1	2.56713754E+0
4.08108073E-1	3.23891859E+0
5.57628989E-1	3.76177051E+0
7.36985690E-1	4.12102217E+0
8.94793613E-1	4.34815638E+0
1.01293466E+0	4.47031858E+0
1.06233421E+0	4.54500451E+0
1.04124767E+0	4.53479209E+0
9.68156184E-1	4.47121995E+0
8.68266678E-1	4.39640244E+0
7.58409615E-1	4.29309215E+0
6.42279623E-1	4.16326011E+0
5.29631406E-1	3.97665736E+0
4.24701962E-1	3.80384282E+0
3.27347559E-1	3.57842222E+0
2.35781621E-1	3.29179628E+0
1.52639840E-1	2.95323173E+0
8.60561623E-2	2.53386213E+0
3.49952253E-2	2.08813953E+0
-5.61438063E-3	1.63323733E+0
-3.78733464E-2	1.10968399E+0
-6.26664294E-2	5.52722477E-1
-8.46114168E-2	2.29232340E-2
-1.09272840E-1	-5.04018675E-1
-1.40114910E-1	-1.06256883E+0
-1.76564989E-1	-1.59226505E+0
-2.19949964E-1	-2.07838210E+0
-2.72489157E-1	-2.53373362E+0
-3.36560897E-1	-2.89596479E+0
-4.14442432E-1	-3.26123250E+0
-5.12254734E-1	-3.54766311E+0
-6.26069807E-1	-3.79710982E+0
-7.35633896E-1	-3.96594663E+0
