H	M
-7.67423264E-2	-2.02723346E-1
-8.33409480E-2	-3.49985328E-1
-9.06459844E-2	-5.00047934E-1
-9.86313442E-2	-6.66644429E-1
-1.07115122E-1	-8.33807659E-1
-1.16623570E-1	-1.01469123E+0
-1.27485513E-1	-1.19668834E+0
-1.38414057E-1	-1.37400120E+0
-1.50982129E-1	-1.56684647E+0
-1.64896199E-1	-1.74610951E+0
-1.81116789E-1	-1.93466370E+0
-1.98957795E-1	-2.10828958E+0
-2.18272912E-1	-2.28328031E+0
-2.39529897E-1	-2.43977393E+0
-2.60521788E-1	-2.57818039E+0
-2.81264590E-1	-2.69308861E+0
-3.01263691E-1	-2.79708214E+0
-3.20666121E-1	-2.88083790E+0
-3.38395951E-1	-2.95893765E+0
-3.51670837E-1	-3.01392376E+0
-3.62445464E-1	-3.05472046E+0
-3.65684924E-1	-3.06840988E+0
-3.57993466E-1	-3.05338113E+0
-3.40768987E-1	-3.01691335E+0
-3.16890673E-1	-2.96253457E+0
-2.84351374E-1	-2.89324072E+0
-2.49473468E-1	-2.80458127E+0
-2.11133162E-1	-2.69486585E+0
-1.68675270E-1	-2.55235611E+0
-1.22977840E-1	-2.36585777E+0
-8.29287218E-2	-2.16588380E+0
-4.71925890E-2	-1.95898973E+0
-1.85580228E-2	-1.75815267E+0
6.41468817E-3	-1.55060565E+0
3.00574475E-2	-1.31374284E+0
5.14784323E-2	-1.04864046E+0
7.14977480E-2	-7.67288297E-1
8.99007128E-2	-4.41698270E-1
1.05240341E-1	-1.08851764E-1
1.18948455E-1	2.02429640E-1
1.31345305E-1	4.85764138E-1
1.43116476E-1	7.50381784E-1
1.55398374E-1	1.00699939E+0
1.68496774E-1	1.25758566E+0
1.82922673E-1	1.50147044E+0
1.99907545E-1	1.76031842E+0
2.19542183E-1	2.00626164E+0
2.39628900E-1	2.23736032E+0
2.59618346E-1	2.42387367E+0
2.79456794E-1	2.58047377E+0
2.99969613E-1	2.72684253E+0
3.23286831E-1	2.87127880E+0
3.47756787E-1	3.00382430E+0
3.70781131E-1	3.11495526E+0
3.89674908E-1	3.19983289E+0
4.04370317E-1	3.25136026E+0
4.13508772E-1	3.29051412E+0
4.17816599E-1	3.30493973E+0
4.15959704E-1	3.29890691E+0
4.06364821E-1	3.28465647E+0
3.89582559E-1	3.24937487E+0
3.61800082E-1	3.18389760E+0
3.28196794E-1	3.11449913E+0
2.93308648E-1	3.02853597E+0
2.61018771E-1	2.92640595E+0
2.27597809E-1	2.81254579E+0
1.94791310E-1	2.68925508E+0
1.60762636E-1	2.54178261E+0
1.29016444E-1	2.37762194E+0
9.88723469E-2	2.19843669E+0
7.23347665E-2	2.00747260E+0
4.82609919E-2	1.81954310E+0
2.72793336E-2	1.61322434E+0
8.29595575E-3	1.39768950E+0
-8.48746382E-3	1.17098538E+0
-2.40907757E-2	9.17667069E-1
-3.89631840E-2	6.33068911E-1
-5.32297100E-2	3.33265745E-1
-6.72464791E-2	8.91858402E-3
-8.12336665E-2	-3.26965540E-1
-9.65332571E-2	-6.56884835E-1
