H	M
1.00381252E+1	5.72154675E+0
1.00396415E+1	5.72604576E+0
1.00397036E+1	5.73111968E+0
1.00392729E+1	5.72477903E+0
1.00064615E+1	5.72388758E+0
1.00057969E+1	5.72118689E+0
1.00101930E+1	5.71902719E+0
9.93270120E+0	5.72120101E+0
9.89297386E+0	5.72032062E+0
9.88348408E+0	5.71865266E+0
9.86367330E+0	5.71586303E+0
9.83104200E+0	5.71615893E+0
9.78631762E+0	5.71637396E+0
9.76773056E+0	5.71663706E+0
9.72431103E+0	5.71619551E+0
9.69922301E+0	5.70856538E+0
9.66734297E+0	5.70866250E+0
9.64436286E+0	5.70931431E+0
9.60501776E+0	5.71059268E+0
9.54627773E+0	5.70708357E+0
9.49793416E+0	5.70579954E+0
9.45743336E+0	5.70464655E+0
9.42094278E+0	5.70968923E+0
9.35560309E+0	5.71167684E+0
9.32995578E+0	5.70781671E+0
9.28754344E+0	5.70931977E+0
9.23203805E+0	5.70967833E+0
9.19249605E+0	5.71050355E+0
9.14543089E+0	5.70569384E+0
9.07939516E+0	5.70703285E+0
9.03387945E+0	5.71210423E+0
8.96233285E+0	5.70339167E+0
8.90621105E+0	5.70170758E+0
8.81382771E+0	5.69976047E+0
8.72236031E+0	5.70430225E+0
8.66395952E+0	5.69238824E+0
8.62527514E+0	5.68863804E+0
8.58347224E+0	5.68842868E+0
8.54165887E+0	5.68653986E+0
8.48545142E+0	5.68214963E+0
8.42124231E+0	5.68469571E+0
8.37411988E+0	5.68531543E+0
8.32625007E+0	5.68144981E+0
8.29685263E+0	5.68985316E+0
8.24029345E+0	5.68267181E+0
8.16234076E+0	5.67399776E+0
8.12668968E+0	5.66888956E+0
8.07242441E+0	5.67010703E+0
8.03857620E+0	5.67149934E+0
8.00383225E+0	5.66285607E+0
7.93695331E+0	5.66661109E+0
7.79707137E+0	5.66477149E+0
7.66614668E+0	5.65738187E+0
7.60242432E+0	5.65449144E+0
7.53451467E+0	5.65314262E+0
7.46227134E+0	5.64834172E+0
7.37061005E+0	5.65398801E+0
7.32325172E+0	5.65445540E+0
7.21234538E+0	5.64921699E+0
7.15180982E+0	5.64404681E+0
7.07961204E+0	5.64288025E+0
7.04433849E+0	5.63641597E+0
6.87985055E+0	5.62770377E+0
6.67844686E+0	5.62330161E+0
6.41876822E+0	5.61061959E+0
6.30903565E+0	5.60622187E+0
6.23343360E+0	5.59822548E+0
6.20268059E+0	5.59730649E+0
6.14216781E+0	5.59367498E+0
6.07100655E+0	5.58839579E+0
6.02030706E+0	5.58917234E+0
5.96069552E+0	5.58960136E+0
5.87897925E+0	5.58977499E+0
5.79782222E+0	5.58457135E+0
5.71092134E+0	5.57832292E+0
5.63264162E+0	5.56903673E+0
5.57414903E+0	5.56532421E+0
5.51737056E+0	5.56560962E+0
5.46794285E+0	5.56472774E+0
5.37724192E+0	5.54711083E+0
5.27416114E+0	5.53981352E+0
5.16963070E+0	5.53577745E+0
5.08006697E+0	5.52883583E+0
4.96439058E+0	5.52157562E+0
4.95104828E+0	5.52029790E+0
4.68272545E+0	5.50624585E+0
4.44641985E+0	5.48785990E+0
4.22156946E+0	5.46863087E+0
4.01559478E+0	5.44780508E+0
3.86069791E+0	5.42456042E+0
3.66801255E+0	5.41390544E+0
3.49605063E+0	5.39361850E+0
3.33935100E+0	5.36905412E+0
3.12029401E+0	5.33497740E+0
2.94069393E+0	5.28318740E+0
2.81715790E+0	5.26115980E+0
2.69177110E+0	5.23448863E+0
2.40104978E+0	5.17244377E+0
2.18816824E+0	5.11426854E+0
2.02407982E+0	5.06027423E+0
1.91478378E+0	5.03157249E+0
1.89622518E+0	5.03192569E+0
1.48805559E+0	4.84251924E+0
1.25042611E+0	4.71226079E+0
1.09083638E+0	4.58713270E+0
9.36027631E-1	4.43148357E+0
7.80057483E-1	4.22367460E+0
6.54786628E-1	4.00106250E+0
5.56678254E-1	3.77131300E+0
4.42656447E-1	3.41865386E+0
3.41736226E-1	2.96654983E+0
2.68895571E-1	2.50966862E+0
2.27151453E-1	2.17219131E+0
2.03586002E-1	1.93722429E+0
1.71659466E-1	1.58556381E+0
1.45175187E-1	1.25629474E+0
1.20401316E-1	9.40516258E-1
6.99507364E-2	3.70849308E-1
3.63825689E-2	1.85528331E-1
3.66279182E-2	1.76804421E-1
3.67390349E-2	1.76734538E-1
