T	M
2.13130814E+1	5.58129665E+0
2.13387842E+1	5.58028751E+0
2.13604011E+1	5.57967114E+0
2.13806373E+1	5.57840992E+0
2.13980978E+1	5.57814598E+0
2.14230056E+1	5.57656479E+0
2.14395460E+1	5.57436247E+0
2.14622368E+1	5.57452613E+0
2.14826401E+1	5.57252393E+0
2.14990535E+1	5.57099694E+0
2.15204191E+1	5.56907318E+0
2.15324261E+1	5.56926578E+0
2.15555629E+1	5.56569235E+0
2.15796064E+1	5.56392401E+0
2.15982107E+1	5.56243471E+0
2.16201064E+1	5.56186198E+0
2.16339272E+1	5.55934592E+0
2.16560186E+1	5.55851925E+0
2.16755713E+1	5.55701724E+0
2.16939664E+1	5.55589845E+0
2.17197112E+1	5.55537635E+0
2.17432937E+1	5.55357876E+0
2.17606847E+1	5.55203448E+0
2.17855368E+1	5.54999720E+0
2.18122300E+1	5.54862980E+0
2.18343771E+1	5.54753485E+0
2.18478910E+1	5.54607412E+0
2.18752676E+1	5.54477852E+0
2.18929654E+1	5.54301253E+0
2.19115418E+1	5.54038422E+0
2.19426838E+1	5.53925889E+0
2.19602706E+1	5.53934743E+0
2.19813294E+1	5.53773890E+0
2.19997803E+1	5.53724904E+0
2.20188309E+1	5.53680222E+0
2.20466950E+1	5.53599403E+0
2.20679491E+1	5.53316840E+0
2.20875296E+1	5.53101589E+0
2.21118798E+1	5.53125735E+0
2.21320879E+1	5.52886138E+0
2.21442630E+1	5.52684694E+0
2.21649597E+1	5.52579248E+0
2.21888916E+1	5.52448439E+0
2.22078165E+1	5.52408802E+0
2.22292797E+1	5.52216017E+0
2.22448158E+1	5.52250819E+0
2.22738240E+1	5.51975243E+0
2.22945341E+1	5.51788053E+0
2.23149095E+1	5.51836512E+0
2.23297344E+1	5.51718000E+0
2.23478507E+1	5.51458384E+0
2.23645583E+1	5.51382146E+0
2.23903867E+1	5.51323399E+0
2.24118360E+1	5.51224436E+0
2.24374972E+1	5.51035878E+0
2.24503695E+1	5.50989207E+0
2.24689878E+1	5.50808290E+0
2.24926546E+1	5.50668591E+0
2.25085254E+1	5.50497949E+0
2.25241731E+1	5.50496151E+0
2.25516053E+1	5.50312451E+0
2.25777964E+1	5.50262797E+0
2.25918402E+1	5.50242483E+0
2.26173898E+1	5.49932570E+0
2.26352269E+1	5.49875156E+0
2.26681679E+1	5.49759607E+0
2.26930341E+1	5.49600326E+0
2.27093373E+1	5.49457122E+0
2.27315816E+1	5.49371777E+0
2.27543419E+1	5.49200907E+0
2.27726952E+1	5.49179385E+0
2.27935309E+1	5.48942059E+0
2.28143665E+1	5.48885640E+0
2.28337658E+1	5.48801478E+0
2.28593571E+1	5.48622380E+0
2.28854784E+1	5.48475057E+0
2.29122691E+1	5.48230575E+0
2.29258248E+1	5.48097674E+0
2.29452379E+1	5.48059548E+0
2.29623500E+1	5.47942420E+0
2.29855704E+1	5.47886491E+0
2.30112315E+1	5.47845683E+0
2.30333363E+1	5.47641070E+0
2.30554411E+1	5.47486724E+0
2.30775737E+1	5.47321063E+0
2.31005152E+1	5.47179775E+0
2.31279195E+1	5.47011585E+0
2.31340559E+1	5.47009973E+0
2.31572345E+1	5.46688882E+0
2.31771494E+1	5.46565269E+0
2.32026709E+1	5.46332838E+0
2.32259334E+1	5.46286349E+0
2.32450258E+1	5.46095035E+0
2.32767676E+1	5.46029723E+0
2.32999880E+1	5.46010022E+0
2.33244497E+1	5.45649372E+0
2.33510731E+1	5.45525535E+0
2.33658979E+1	5.45248689E+0
2.33983368E+1	5.44992789E+0
2.34178895E+1	5.44855769E+0
2.34488362E+1	5.44851968E+0
2.34640794E+1	5.44735647E+0
2.34870210E+1	5.44562481E+0
2.35118733E+1	5.44602950E+0
2.35350658E+1	5.44363453E+0
2.35535025E+1	5.44258448E+0
2.35771274E+1	5.44058080E+0
2.36066798E+1	5.43904088E+0
2.36275015E+1	5.43813739E+0
2.36523393E+1	5.43576585E+0
2.36711109E+1	5.43524811E+0
2.36965907E+1	5.43306354E+0
2.37193928E+1	5.43042650E+0
2.37419440E+1	5.43022270E+0
2.37622078E+1	5.42813253E+0
2.37863770E+1	5.42753837E+0
2.38093186E+1	5.42641635E+0
2.38330824E+1	5.42307492E+0
2.38531510E+1	5.42211518E+0
2.38811417E+1	5.42142009E+0
2.39068168E+1	5.41839243E+0
2.39207213E+1	5.41739450E+0
2.39525327E+1	5.41701816E+0
2.39702166E+1	5.41428906E+0
2.39888768E+1	5.41407403E+0
2.40111349E+1	5.41098780E+0
2.40384411E+1	5.41001979E+0
2.40602391E+1	5.40814588E+0
2.40904877E+1	5.40765811E+0
2.41036669E+1	5.40686404E+0
2.41321886E+1	5.40457555E+0
2.41498166E+1	5.40481002E+0
2.41725054E+1	5.40168346E+0
2.42019459E+1	5.40192197E+0
2.42256833E+1	5.39954108E+0
2.42469234E+1	5.40004111E+0
2.42680517E+1	5.39611012E+0
2.42976874E+1	5.39379961E+0
2.43224299E+1	5.39326438E+0
2.43365993E+1	5.39158071E+0
2.43651882E+1	5.39126419E+0
2.43936106E+1	5.39055262E+0
2.44273885E+1	5.38952522E+0
2.44402748E+1	5.38884529E+0
2.44672338E+1	5.38755200E+0
2.44954192E+1	5.38591334E+0
2.45137026E+1	5.38737113E+0
2.45358771E+1	5.38162530E+0
2.45661124E+1	5.38175012E+0
2.45891935E+1	5.38021724E+0
2.46136410E+1	5.37854257E+0
2.46417148E+1	5.37799354E+0
2.46649061E+1	5.37538151E+0
2.46873038E+1	5.37624750E+0
2.47116965E+1	5.37213131E+0
2.47371345E+1	5.37126627E+0
2.47606059E+1	5.36915821E+0
2.47820831E+1	5.37121161E+0
2.48043831E+1	5.37062444E+0
2.48228340E+1	5.36798192E+0
2.48530138E+1	5.36630184E+0
2.48811713E+1	5.36557393E+0
2.48975861E+1	5.36498786E+0
2.49202209E+1	5.36186925E+0
2.49508329E+1	5.36190135E+0
2.49723939E+1	5.35942243E+0
2.49981805E+1	5.35723886E+0
2.50263642E+1	5.35680527E+0
2.50473533E+1	5.35497776E+0
2.50772261E+1	5.35382101E+0
2.51026083E+1	5.35297123E+0
2.51216584E+1	5.35051302E+0
2.51441257E+1	5.34808963E+0
2.51694231E+1	5.34726877E+0
2.51989194E+1	5.34805226E+0
2.52291689E+1	5.34552703E+0
2.52493769E+1	5.34343829E+0
2.52803378E+1	5.34172179E+0
2.53017035E+1	5.33984915E+0
2.53356623E+1	5.33946139E+0
2.53486044E+1	5.33798413E+0
2.53733875E+1	5.33322738E+0
2.53997738E+1	5.33125144E+0
2.54221425E+1	5.32895550E+0
2.54433826E+1	5.32776855E+0
