H	M
-2.47991450E-1	4.73670826E-1
-4.62117044E-1	-3.03054002E-2
-6.94521009E-1	-5.58533564E-1
-9.63336099E-1	-1.10485462E+0
-1.26010847E+0	-1.60659970E+0
-1.61173289E+0	-2.04023189E+0
-2.00959955E+0	-2.39765591E+0
-2.42808977E+0	-2.65601985E+0
-2.80248254E+0	-2.83428913E+0
-3.08812395E+0	-2.93434958E+0
-3.23552221E+0	-2.98112972E+0
-3.21780187E+0	-2.98367406E+0
-3.05156664E+0	-2.94813300E+0
-2.77572532E+0	-2.87878843E+0
-2.43609727E+0	-2.78191829E+0
-2.07420964E+0	-2.67016926E+0
-1.67218115E+0	-2.51265813E+0
-1.26655343E+0	-2.32109195E+0
-8.99010032E-1	-2.09238807E+0
-5.49721602E-1	-1.79513097E+0
-2.40866754E-1	-1.41366460E+0
1.86038700E-2	-9.79266613E-1
2.42235981E-1	-4.83813085E-1
4.69346654E-1	5.78332903E-2
7.29402840E-1	6.69083379E-1
1.01834860E+0	1.24140148E+0
1.34299650E+0	1.76705601E+0
1.73303716E+0	2.22904751E+0
2.16813345E+0	2.58277936E+0
2.60668180E+0	2.84414131E+0
2.97355798E+0	2.99921099E+0
3.22587698E+0	3.08802528E+0
3.30495236E+0	3.11850288E+0
3.21588551E+0	3.09978133E+0
3.00631752E+0	3.05349787E+0
2.70483329E+0	2.97544406E+0
2.37541552E+0	2.87634254E+0
1.99391280E+0	2.75604395E+0
1.60475311E+0	2.59056921E+0
1.21810679E+0	2.39991457E+0
8.55864702E-1	2.15263365E+0
5.23278939E-1	1.84711496E+0
2.52535793E-1	1.48559756E+0
1.99389122E-2	1.07266540E+0
-1.76020174E-1	6.44712571E-1
-3.83371106E-1	1.41651327E-1
-6.21182842E-1	-4.20711432E-1
