H	M
4.22332518E-1	-4.14021863E-2
6.95019602E-1	6.08362058E-1
1.00592685E+0	1.23553798E+0
1.38482467E+0	1.82352716E+0
1.80540516E+0	2.30131384E+0
2.26054695E+0	2.64859199E+0
2.68458608E+0	2.87033982E+0
3.02698790E+0	3.01498693E+0
3.25042097E+0	3.09539200E+0
3.30505840E+0	3.11761587E+0
3.17063113E+0	3.08948951E+0
2.92129234E+0	3.02633767E+0
2.60179597E+0	2.94246455E+0
2.27427787E+0	2.84685856E+0
1.92275943E+0	2.72634875E+0
1.54405784E+0	2.56245759E+0
1.14233109E+0	2.35489710E+0
7.62880624E-1	2.07410917E+0
3.95536411E-1	1.69165100E+0
1.05466741E-1	1.25057510E+0
-1.25962439E-1	7.59557778E-1
-3.43252105E-1	2.31419771E-1
-6.02938288E-1	-3.93526911E-1
-9.07592179E-1	-1.00805473E+0
-1.28566650E+0	-1.64356163E+0
-1.77737547E+0	-2.20986098E+0
-2.30227665E+0	-2.58760980E+0
-2.77955479E+0	-2.82107555E+0
-3.13212183E+0	-2.94736098E+0
-3.25739484E+0	-2.99597751E+0
-3.08771718E+0	-2.95568076E+0
-2.70709731E+0	-2.86291177E+0
-2.21054037E+0	-2.72411133E+0
-1.66397283E+0	-2.52069770E+0
-1.14448219E+0	-2.25774686E+0
-6.52487253E-1	-1.89278456E+0
-2.45045430E-1	-1.41930659E+0
8.76263917E-2	-8.55207795E-1
3.73925972E-1	-1.47657099E-1
6.99916838E-1	5.79540235E-1
