H	M
8.19502503E+0	1.88945476E+0
8.65650059E+0	1.98798184E+0
9.09439591E+0	2.07876849E+0
9.46334216E+0	2.15490954E+0
9.74425351E+0	2.21062399E+0
9.94368159E+0	2.24872324E+0
1.00844328E+1	2.27765732E+0
1.01780772E+1	2.29613232E+0
1.02410680E+1	2.30717798E+0
1.02774649E+1	2.31531702E+0
1.02736202E+1	2.31698485E+0
1.01848552E+1	2.30230829E+0
9.99382032E+0	2.27340880E+0
9.72694301E+0	2.22740723E+0
9.40626573E+0	2.17549570E+0
9.03090395E+0	2.10877132E+0
8.62512563E+0	2.04378710E+0
8.18201697E+0	1.96037137E+0
7.73485818E+0	1.87610803E+0
7.31656290E+0	1.79415493E+0
6.90287289E+0	1.71088044E+0
6.56045018E+0	1.63947002E+0
6.18254977E+0	1.56398607E+0
5.88826347E+0	1.50064473E+0
5.50096381E+0	1.42024271E+0
5.04774291E+0	1.32237020E+0
4.59925570E+0	1.21860895E+0
4.08708006E+0	1.10831133E+0
3.56514086E+0	9.90843353E-1
3.07631259E+0	8.76603267E-1
2.51511886E+0	7.41877426E-1
1.93765511E+0	6.12217044E-1
1.25969183E+0	4.54956695E-1
5.76388399E-1	2.84401968E-1
-1.57688189E-1	1.11205828E-1
-8.84940097E-1	-6.28475291E-2
-1.71274628E+0	-2.53810241E-1
-2.49269312E+0	-4.51781827E-1
-3.35034467E+0	-6.47950389E-1
-4.07508865E+0	-8.07810959E-1
-4.70939922E+0	-9.56507390E-1
-5.42864170E+0	-1.12490272E+0
-6.20321239E+0	-1.31113637E+0
-6.91781259E+0	-1.47260202E+0
-7.59568196E+0	-1.62371497E+0
-8.24440093E+0	-1.75279789E+0
-8.84855341E+0	-1.88382305E+0
-9.35061119E+0	-1.98928621E+0
-9.72470293E+0	-2.06584536E+0
-9.95935446E+0	-2.11444966E+0
-1.01098048E+1	-2.14345997E+0
-1.01920486E+1	-2.16115450E+0
-1.02355173E+1	-2.17080624E+0
-1.01440764E+1	-2.15439150E+0
-9.83874803E+0	-2.10494055E+0
-9.34200197E+0	-2.02665224E+0
-8.73660012E+0	-1.92256288E+0
-8.02845821E+0	-1.79134146E+0
-7.24699207E+0	-1.64501321E+0
-6.45070841E+0	-1.48753899E+0
-5.67602471E+0	-1.32377364E+0
-4.77700319E+0	-1.12674598E+0
-3.80108644E+0	-9.15598279E-1
-2.89787699E+0	-7.04133392E-1
-1.95195585E+0	-4.81013247E-1
-9.07701159E-1	-2.31260169E-1
1.05079909E-1	1.23651280E-2
1.07996014E+0	2.48896943E-1
2.15669053E+0	4.97386256E-1
3.17399918E+0	7.38120530E-1
4.04664842E+0	9.43654333E-1
4.80311166E+0	1.12503831E+0
5.61252813E+0	1.31739661E+0
6.44956129E+0	1.51451697E+0
7.24442131E+0	1.68698406E+0
7.93015107E+0	1.83916102E+0
8.50281532E+0	1.95683615E+0
8.97068800E+0	2.05549628E+0
