H	M
3.17416921E+0	2.20413392E+0
3.00776661E+0	2.14208416E+0
2.83210579E+0	2.08113079E+0
2.66130655E+0	2.01226567E+0
2.48091065E+0	1.93544494E+0
2.28078231E+0	1.84315859E+0
2.05595926E+0	1.73143666E+0
1.81843187E+0	1.61136011E+0
1.59138892E+0	1.48195915E+0
1.37779652E+0	1.35067226E+0
1.16331481E+0	1.21207648E+0
9.45026338E-1	1.06179984E+0
7.22782112E-1	9.00339426E-1
4.88224629E-1	7.19120988E-1
2.42080597E-1	5.29309059E-1
1.80669052E-3	3.31489074E-1
-2.49795562E-1	1.23635298E-1
-4.85753397E-1	-6.42412395E-2
-7.12544359E-1	-2.54280323E-1
-9.73076973E-1	-4.68470360E-1
-1.27912027E+0	-7.08593007E-1
-1.57771178E+0	-9.45961876E-1
-1.87381429E+0	-1.18224827E+0
-2.16122454E+0	-1.38947949E+0
-2.44004593E+0	-1.58122639E+0
-2.69279814E+0	-1.73588289E+0
-2.90726354E+0	-1.86875827E+0
-3.09933600E+0	-1.97368666E+0
-3.24567537E+0	-2.05562025E+0
-3.35855797E+0	-2.11326411E+0
-3.43783824E+0	-2.15386098E+0
-3.45323419E+0	-2.16504825E+0
-3.37909451E+0	-2.14137650E+0
-3.23354553E+0	-2.09243653E+0
-3.03257482E+0	-2.02357179E+0
-2.79612554E+0	-1.93592825E+0
-2.52398007E+0	-1.82865229E+0
-2.24585813E+0	-1.70329164E+0
-1.92778200E+0	-1.55830299E+0
-1.61813276E+0	-1.37987995E+0
-1.30823847E+0	-1.18879492E+0
-9.67634684E-1	-9.81168056E-1
-6.15477346E-1	-7.22733545E-1
-2.58665022E-1	-4.42726438E-1
9.84518017E-2	-1.51930691E-1
4.51285942E-1	1.42905044E-1
8.05051628E-1	4.41003010E-1
1.18859602E+0	7.46594287E-1
1.58245950E+0	1.06390784E+0
1.96687850E+0	1.35617718E+0
2.33785582E+0	1.62364621E+0
2.66776644E+0	1.84431943E+0
2.94047366E+0	2.01007647E+0
3.16345999E+0	2.13056163E+0
3.32179047E+0	2.21466973E+0
3.43989763E+0	2.27573742E+0
3.50421878E+0	2.31017904E+0
3.48719224E+0	2.30656270E+0
3.36531804E+0	2.27160928E+0
3.17210981E+0	2.20317486E+0
2.93232886E+0	2.12081208E+0
2.65668839E+0	2.00660339E+0
